site_specific	day	subject_id	new_taxa	abu_new
Ra	Day 0	subject 8	Gammaproteobacteria	0.0542039767929922
Ra	Day 0	subject 8	Malassezia globosa	0.0010072095988198
Ra	Day 0	subject 8	Malassezia restricta	0.0589529638109716
Ra	Day 0	subject 8	Micrococcus luteus	0.00163063115347965
Ra	Day 0	subject 8	Proteobacteria	0.00138475718697717
Ra	Day 0	subject 8	Staphylococcus aureus	0.000571625769838253
Ra	Day 0	subject 8	Staphylococcus epidermidis	0.0777123986003905
Ra	Day 0	subject 8	Staphylococcus hominis	0.00339668020221573
Ra	Day 0	subject 9	Actinobacteria	0.112653066827258
Ra	Day 0	subject 9	Alphaproteobacteria	0.000422362548268119
Ra	Day 0	subject 9	Bacteria	0.000102774886745242
Ra	Day 0	subject 9	Corynebacterium tuberculostearicum	0.00249862644179615
Ra	Day 0	subject 9	Cutibacterium acnes	0.641770212951676
Ra	Day 0	subject 9	Eukaryotic virus	7.91929778002724e-06
Ra	Day 0	subject 9	Firmicutes	0.0019527228481596
Ra	Day 0	subject 9	Fungi	0.197798364823394
Ra	Day 0	subject 9	Gammaproteobacteria	0.00172007147782192
Ra	Day 0	subject 9	Malassezia globosa	0.0161889804907219
Ra	Day 0	subject 9	Malassezia restricta	0.0151438091681534
Ra	Day 0	subject 9	Micrococcus luteus	0.00075567699260971
Ra	Day 0	subject 9	Proteobacteria	0.000195342678574005
Ra	Day 0	subject 9	Staphylococcus aureus	8.11288061465013e-05
Ra	Day 0	subject 9	Staphylococcus epidermidis	0.00867057516275915
Ra	Day 0	subject 9	Staphylococcus hominis	3.83645981343542e-05
Ra	Day 0	subject 10	Actinobacteria	0.0182684954690595
Ra	Day 0	subject 10	Alphaproteobacteria	1.64659510977957e-05
Ra	Day 0	subject 10	Bacteria	7.99433857646603e-06
Ra	Day 0	subject 10	Corynebacterium tuberculostearicum	0.000557694604573167
Ra	Day 0	subject 10	Cutibacterium acnes	0.929582524900873
Ra	Day 0	subject 10	Eukaryotic virus	2.38636972431822e-07
Ra	Day 0	subject 10	Firmicutes	0.0035553329337755
Ra	Day 0	subject 10	Fungi	0.000825683924614103
Ra	Day 0	subject 10	Gammaproteobacteria	0.00011466506525349
Ra	Day 0	subject 10	Malassezia globosa	0.0411399401808701
Ra	Day 0	subject 10	Malassezia restricta	0.00142728773211473
Ra	Day 0	subject 10	Micrococcus luteus	1.01420713283524e-05
Ra	Day 0	subject 10	Proteobacteria	1.0738663759432e-05
Ra	Day 0	subject 10	Staphylococcus aureus	0.000130057149975343
Ra	Day 0	subject 10	Staphylococcus epidermidis	0.00432088034133678
Ra	Day 0	subject 10	Staphylococcus hominis	3.18580358196482e-05
Ra	Day 0	subject 11	Actinobacteria	0.0195571422180236
Ra	Day 0	subject 11	Alphaproteobacteria	0.000468131707105163
Ra	Day 0	subject 11	Bacteria	0.000515463583308317
Ra	Day 0	subject 11	Corynebacterium tuberculostearicum	0.00291058619556105
Ra	Day 0	subject 11	Cutibacterium acnes	0.471807383902364
Ra	Day 0	subject 11	Eukaryotic virus	0.000908382993981071
Ra	Day 0	subject 11	Firmicutes	0.00670621363793449
Ra	Day 0	subject 11	Fungi	0.229406581464967
Ra	Day 0	subject 11	Gammaproteobacteria	0.00502884975111862
Ra	Day 0	subject 11	Malassezia globosa	0.0323685195042991
Ra	Day 0	subject 11	Malassezia restricta	0.197511380722699
Ra	Day 0	subject 11	Micrococcus luteus	0.000960253543244801
Ra	Day 0	subject 11	Proteobacteria	0.00100564027385056
Ra	Day 0	subject 11	Staphylococcus aureus	0.00025740760072126
Ra	Day 0	subject 11	Staphylococcus epidermidis	0.0291700517603243
Ra	Day 0	subject 11	Staphylococcus hominis	0.00141801114049722
Ra	Day 0	subject 12	Actinobacteria	0.327648497856938
Ra	Day 0	subject 12	Alphaproteobacteria	0.0195558562582073
Ra	Day 0	subject 12	Bacteria	0.000644918310347356
Ra	Day 0	subject 12	Corynebacterium tuberculostearicum	0.00183143468493991
Ra	Day 0	subject 12	Cutibacterium acnes	0.575473773322046
Ra	Day 0	subject 12	Eukaryotic virus	3.33291116458582e-06
Ra	Day 0	subject 12	Firmicutes	0.0268199361414221
Ra	Day 0	subject 12	Fungi	0.000593258187296276
Ra	Day 0	subject 12	Gammaproteobacteria	0.00844393043547817
Ra	Day 0	subject 12	Malassezia globosa	3.33291116458582e-05
Ra	Day 0	subject 12	Malassezia restricta	0.00175144481698985
Ra	Day 0	subject 12	Micrococcus luteus	0.00525100153980496
Ra	Day 0	subject 12	Proteobacteria	0.00131816636559369
Ra	Day 0	subject 12	Staphylococcus aureus	7.3324045620888e-05
Ra	Day 0	subject 12	Staphylococcus epidermidis	0.0305394650010999
Ra	Day 0	subject 12	Staphylococcus hominis	1.8331011405222e-05
Ra	Day 0	subject 13	Actinobacteria	0.0297170947061665
Ra	Day 0	subject 13	Alphaproteobacteria	0.000240621733004634
Ra	Day 0	subject 13	Bacteria	0.000206058572518171
Ra	Day 0	subject 13	Corynebacterium tuberculostearicum	6.16699987106776e-05
Ra	Day 0	subject 13	Cutibacterium acnes	0.697304384162151
Ra	Day 0	subject 13	Eukaryotic virus	1.69320651371886e-05
Ra	Day 0	subject 13	Firmicutes	0.00264614003283889
Ra	Day 0	subject 13	Fungi	0.0299083959742074
Ra	Day 0	subject 13	Gammaproteobacteria	0.000896234401917518
Ra	Day 0	subject 13	Malassezia globosa	0.00806129407579663
Ra	Day 0	subject 13	Malassezia restricta	0.229009443121465
Ra	Day 0	subject 13	Micrococcus luteus	0.00020023332075079
Ra	Day 0	subject 13	Proteobacteria	0.000625554369793196
Ra	Day 0	subject 13	Staphylococcus aureus	5.99612581922458e-05
Ra	Day 0	subject 13	Staphylococcus epidermidis	0.00103844821506519
Ra	Day 0	subject 13	Staphylococcus hominis	7.53399228581326e-06
Ra	Day 0	subject 14	Actinobacteria	0.0901796572345573
Ra	Day 0	subject 14	Alphaproteobacteria	0.00513019821220365
Ra	Day 0	subject 14	Bacteria	0.00772538645737998
Ra	Day 0	subject 14	Corynebacterium tuberculostearicum	0.012895703521683
Ra	Day 0	subject 14	Cutibacterium acnes	0.431094617805248
Ra	Day 0	subject 14	Eukaryotic virus	0.000162982836653586
Ra	Day 0	subject 14	Firmicutes	0.0755613505008587
Ra	Day 0	subject 14	Fungi	0.00694808369795519
Ra	Day 0	subject 14	Gammaproteobacteria	0.0552486741973095
Ra	Day 0	subject 14	Malassezia globosa	0.0146634404423103
Ra	Day 0	subject 14	Malassezia restricta	0.106831488284041
Ra	Day 0	subject 14	Micrococcus luteus	0.00387648408409914
Ra	Day 0	subject 14	Proteobacteria	0.00479921768238406
Ra	Day 0	subject 14	Staphylococcus aureus	0.000965359878640472
Ra	Day 0	subject 14	Staphylococcus epidermidis	0.175966300164236
Ra	Day 0	subject 14	Staphylococcus hominis	0.00795105500043879
Ra	Day 14	subject 5	Actinobacteria	0.468186881168024
Ra	Day 14	subject 5	Alphaproteobacteria	0.0345458029025229
Ra	Day 14	subject 5	Bacteria	0.00305255261594017
Ra	Day 14	subject 5	Corynebacterium tuberculostearicum	0.00670587356586856
Ra	Day 14	subject 5	Cutibacterium acnes	0.028012041345851
Ra	Day 14	subject 5	Eukaryotic virus	1.29895855997454e-05
Ra	Day 14	subject 5	Firmicutes	0.0433397523535506
Ra	Day 14	subject 5	Fungi	0.118812492084471
Ra	Day 14	subject 5	Gammaproteobacteria	0.0291648670678284
Ra	Day 14	subject 5	Malassezia globosa	0.000305255261594017
Ra	Day 14	subject 5	Malassezia restricta	0.124758474892755
Ra	Day 14	subject 5	Micrococcus luteus	0.000808601703584151
Ra	Day 14	subject 5	Proteobacteria	0.0093979651814158
Ra	Day 14	subject 5	Staphylococcus aureus	0.00153277110076996
Ra	Day 14	subject 5	Staphylococcus epidermidis	0.129022306365871
Ra	Day 14	subject 5	Staphylococcus hominis	0.00234137280435411
Ra	Day 14	subject 6	Actinobacteria	0.0658810079344821
Ra	Day 14	subject 6	Alphaproteobacteria	0.00162500494332256
Ra	Day 14	subject 6	Bacteria	0.00103180623613623
Ra	Day 14	subject 6	Corynebacterium tuberculostearicum	0.000395465804790889
Ra	Day 14	subject 6	Cutibacterium acnes	0.495151948747632
Ra	Day 14	subject 6	Eukaryotic virus	0.00011504459775735
Ra	Day 14	subject 6	Firmicutes	0.0156892070191585
Ra	Day 14	subject 6	Fungi	0.0144596678806269
Ra	Day 14	subject 6	Gammaproteobacteria	0.0050871283070828
Ra	Day 14	subject 6	Malassezia globosa	0.0164010454677821
Ra	Day 14	subject 6	Malassezia restricta	0.375142457568317
Ra	Day 14	subject 6	Micrococcus luteus	0.00265681117945879
Ra	Day 14	subject 6	Proteobacteria	0.00138053517308819
Ra	Day 14	subject 6	Staphylococcus aureus	0.00021570862079503
Ra	Day 14	subject 6	Staphylococcus epidermidis	0.00457661790453456
Ra	Day 14	subject 6	Staphylococcus hominis	0.00019054261503561
Ra	Day 14	subject 7	Actinobacteria	0.021052241296207
Ra	Day 14	subject 7	Alphaproteobacteria	0.00104556746134737
Ra	Day 14	subject 7	Bacteria	0.00126802862333618
Ra	Day 14	subject 7	Corynebacterium tuberculostearicum	0.000934336880352972
Ra	Day 14	subject 7	Cutibacterium acnes	0.0889028957027919
Ra	Day 14	subject 7	Eukaryotic virus	0.00126802862333618
Ra	Day 14	subject 7	Firmicutes	0.0127841014422899
Ra	Day 14	subject 7	Fungi	0.0080086018315969
Ra	Day 14	subject 7	Gammaproteobacteria	0.00964739905824775
Ra	Day 14	subject 7	Malassezia globosa	0.0556449519854659
Ra	Day 14	subject 7	Malassezia restricta	0.219591412999147
Ra	Day 14	subject 7	Micrococcus luteus	0.00687404990545401
Ra	Day 14	subject 7	Proteobacteria	0.00257313410700382
Ra	Day 14	subject 7	Staphylococcus aureus	0.00207630417856216
Ra	Day 14	subject 7	Staphylococcus epidermidis	0.56780986986022
Ra	Day 14	subject 7	Staphylococcus hominis	0.00051907604464054
Ra	Day 14	subject 8	Actinobacteria	0.0918507019008745
Ra	Day 14	subject 8	Alphaproteobacteria	0.00243883924964066
Ra	Day 14	subject 8	Bacteria	0.0100651091723373
Ra	Day 14	subject 8	Corynebacterium tuberculostearicum	0.00315261599790397
Ra	Day 14	subject 8	Cutibacterium acnes	0.289868043125338
Ra	Day 14	subject 8	Eukaryotic virus	1.46918027086787e-05
Ra	Day 14	subject 8	Firmicutes	0.036698898849387
Ra	Day 14	subject 8	Fungi	0.0686817290292882
Ra	Day 14	subject 8	Gammaproteobacteria	0.0272067699826882
Ra	Day 14	subject 8	Malassezia globosa	0.00141531032760271
Ra	Day 14	subject 8	Malassezia restricta	0.174271715096562
Ra	Day 14	subject 8	Micrococcus luteus	0.00373783947246634
Ra	Day 14	subject 8	Proteobacteria	0.000988023732158643
Ra	Day 14	subject 8	Staphylococcus aureus	0.00118269011804864
Ra	Day 14	subject 8	Staphylococcus epidermidis	0.286523209375329
Ra	Day 14	subject 8	Staphylococcus hominis	0.00190381276766628
Ra	Day 14	subject 9	Actinobacteria	0.0135402594954604
Ra	Day 14	subject 9	Alphaproteobacteria	0.00210486632528039
Ra	Day 14	subject 9	Bacteria	0.000345575068329616
Ra	Day 14	subject 9	Corynebacterium tuberculostearicum	0.000832521755521348
Ra	Day 14	subject 9	Cutibacterium acnes	0.78599478495806
Ra	Day 14	subject 9	Eukaryotic virus	0
Ra	Day 14	subject 9	Firmicutes	0.00593760799220886
Ra	Day 14	subject 9	Fungi	0.110301278627753
Ra	Day 14	subject 9	Gammaproteobacteria	0.00625176714523578
Ra	Day 14	subject 9	Malassezia globosa	0.0110741101441991
Ra	Day 14	subject 9	Malassezia restricta	0.0172787534164808
Ra	Day 14	subject 9	Micrococcus luteus	0.00117809682385096
Ra	Day 14	subject 9	Proteobacteria	0.00144513210392385
Ra	Day 14	subject 9	Staphylococcus aureus	0.00100530928968616
Ra	Day 14	subject 9	Staphylococcus epidermidis	0.0425371493198455
Ra	Day 14	subject 9	Staphylococcus hominis	0.000172787534164808
Ra	Day 14	subject 10	Actinobacteria	0.00502875227263539
Ra	Day 14	subject 10	Alphaproteobacteria	5.60920254398908e-05
Ra	Day 14	subject 10	Bacteria	6.13151695091924e-05
Ra	Day 14	subject 10	Corynebacterium tuberculostearicum	8.44786779904429e-05
Ra	Day 14	subject 10	Cutibacterium acnes	0.812009734123798
Ra	Day 14	subject 10	Eukaryotic virus	6.69925000193028e-05
Ra	Day 14	subject 10	Firmicutes	0.0157398311062301
Ra	Day 14	subject 10	Fungi	0.00253935639056218
Ra	Day 14	subject 10	Gammaproteobacteria	0.0713724469612428
Ra	Day 14	subject 10	Malassezia globosa	0.0467101232253232
Ra	Day 14	subject 10	Malassezia restricta	0.0222905621420159
Ra	Day 14	subject 10	Micrococcus luteus	3.83787542483464e-05
Ra	Day 14	subject 10	Proteobacteria	3.20201440770227e-05
Ra	Day 14	subject 10	Staphylococcus aureus	0.00147292662754304
Ra	Day 14	subject 10	Staphylococcus epidermidis	0.0217623433113552
Ra	Day 14	subject 10	Staphylococcus hominis	0.000734646568008287
Ra	Day 14	subject 11	Actinobacteria	0.0121085862073477
Ra	Day 14	subject 11	Alphaproteobacteria	9.44961103947175e-05
Ra	Day 14	subject 11	Bacteria	0.000199168724985789
Ra	Day 14	subject 11	Corynebacterium tuberculostearicum	0.00113879927911583
Ra	Day 14	subject 11	Cutibacterium acnes	0.739455809015123
Ra	Day 14	subject 11	Eukaryotic virus	0.000260712345601836
Ra	Day 14	subject 11	Firmicutes	0.00123184160319678
Ra	Day 14	subject 11	Fungi	0.127629354271733
Ra	Day 14	subject 11	Gammaproteobacteria	0.00118580503659422
Ra	Day 14	subject 11	Malassezia globosa	0.0120543115183005
Ra	Day 14	subject 11	Malassezia restricta	0.0908286921205266
Ra	Day 14	subject 11	Micrococcus luteus	5.8636047988517e-05
Ra	Day 14	subject 11	Proteobacteria	9.54653012705608e-05
Ra	Day 14	subject 11	Staphylococcus aureus	5.33054981713791e-05
Ra	Day 14	subject 11	Staphylococcus epidermidis	0.0133656267733164
Ra	Day 14	subject 11	Staphylococcus hominis	0.000239390146333284
Ra	Day 14	subject 12	Actinobacteria	0.421275334639511
Ra	Day 14	subject 12	Alphaproteobacteria	0.0318586693448804
Ra	Day 14	subject 12	Bacteria	0.000197573143224064
Ra	Day 14	subject 12	Corynebacterium tuberculostearicum	0.0134349737392364
Ra	Day 14	subject 12	Cutibacterium acnes	0.134283879677956
Ra	Day 14	subject 12	Eukaryotic virus	0
Ra	Day 14	subject 12	Firmicutes	0.169682401172267
Ra	Day 14	subject 12	Fungi	0.00176169386041457
Ra	Day 14	subject 12	Gammaproteobacteria	0.0106360208768955
Ra	Day 14	subject 12	Malassezia globosa	9.87865716120322e-05
Ra	Day 14	subject 12	Malassezia restricta	0.00632234058317006
Ra	Day 14	subject 12	Micrococcus luteus	0.00321056357739105
Ra	Day 14	subject 12	Proteobacteria	0.000971401287518317
Ra	Day 14	subject 12	Staphylococcus aureus	0.0015476562885885
Ra	Day 14	subject 12	Staphylococcus epidermidis	0.204702240808733
Ra	Day 14	subject 12	Staphylococcus hominis	1.64644286020054e-05
Ra	Day 14	subject 13	Actinobacteria	0.0324482000721754
Ra	Day 14	subject 13	Alphaproteobacteria	0.000345347557817482
Ra	Day 14	subject 13	Bacteria	0.000164820960143857
Ra	Day 14	subject 13	Corynebacterium tuberculostearicum	0.000231349334848604
Ra	Day 14	subject 13	Cutibacterium acnes	0.23049964221146
Ra	Day 14	subject 13	Eukaryotic virus	3.38818247833196e-05
Ra	Day 14	subject 13	Firmicutes	0.00233608123167492
Ra	Day 14	subject 13	Fungi	0.139204359461456
Ra	Day 14	subject 13	Gammaproteobacteria	0.00179150148541802
Ra	Day 14	subject 13	Malassezia globosa	0.0111008857803099
Ra	Day 14	subject 13	Malassezia restricta	0.579305616706564
Ra	Day 14	subject 13	Micrococcus luteus	0.000349935721590223
Ra	Day 14	subject 13	Proteobacteria	0.000425640423840453
Ra	Day 14	subject 13	Staphylococcus aureus	1.88820586032042e-05
Ra	Day 14	subject 13	Staphylococcus epidermidis	0.00172056141477795
Ra	Day 14	subject 13	Staphylococcus hominis	2.32937545385322e-05
Ra	Day 14	subject 14	Actinobacteria	0.154194772344013
Ra	Day 14	subject 14	Alphaproteobacteria	0.00874789207419898
Ra	Day 14	subject 14	Bacteria	0.0139123102866779
Ra	Day 14	subject 14	Corynebacterium tuberculostearicum	0.00990725126475548
Ra	Day 14	subject 14	Cutibacterium acnes	0.457419898819561
Ra	Day 14	subject 14	Eukaryotic virus	0.000843170320404721
Ra	Day 14	subject 14	Firmicutes	0.122365092748735
Ra	Day 14	subject 14	Fungi	0.00916947723440134
Ra	Day 14	subject 14	Gammaproteobacteria	0.0256112984822934
Ra	Day 14	subject 14	Malassezia globosa	0.00611298482293423
Ra	Day 14	subject 14	Malassezia restricta	0.0740935919055649
Ra	Day 14	subject 14	Micrococcus luteus	0.00337268128161888
Ra	Day 14	subject 14	Proteobacteria	0.00653456998313659
Ra	Day 14	subject 14	Staphylococcus aureus	0.0010539629005059
Ra	Day 14	subject 14	Staphylococcus epidermidis	0.102761382799325
Ra	Day 14	subject 14	Staphylococcus hominis	0.00389966273187184
Ra	Day 56	subject 5	Actinobacteria	0.200251250661677
Ra	Day 56	subject 5	Alphaproteobacteria	0.0241931275115747
Ra	Day 56	subject 5	Bacteria	0.0175353577526113
Ra	Day 56	subject 5	Corynebacterium tuberculostearicum	0.135105010847766
Ra	Day 56	subject 5	Cutibacterium acnes	0.00400733622110059
Ra	Day 56	subject 5	Eukaryotic virus	0
Ra	Day 56	subject 5	Firmicutes	0.0203535402485667
Ra	Day 56	subject 5	Fungi	0.320389326692961
Ra	Day 56	subject 5	Gammaproteobacteria	0.00307539756503069
Ra	Day 56	subject 5	Malassezia globosa	0.000812650508092957
Ra	Day 56	subject 5	Malassezia restricta	0.256406146321825
Ra	Day 56	subject 5	Micrococcus luteus	0.00508838506214168
Ra	Day 56	subject 5	Proteobacteria	0.000633718286127536
Ra	Day 56	subject 5	Staphylococcus aureus	0.0002012987497111
Ra	Day 56	subject 5	Staphylococcus epidermidis	0.00700817869364569
Ra	Day 56	subject 5	Staphylococcus hominis	0.0049392748771705
Ra	Day 56	subject 6	Actinobacteria	0.0281723789396306
Ra	Day 56	subject 6	Alphaproteobacteria	0.00170908756776624
Ra	Day 56	subject 6	Bacteria	0.00101075071211982
Ra	Day 56	subject 6	Corynebacterium tuberculostearicum	0.000716714141321327
Ra	Day 56	subject 6	Cutibacterium acnes	0.082584458942081
Ra	Day 56	subject 6	Eukaryotic virus	0.000111795154522344
Ra	Day 56	subject 6	Firmicutes	0.0219241018101627
Ra	Day 56	subject 6	Fungi	0.0361542466844314
Ra	Day 56	subject 6	Gammaproteobacteria	0.00936628993231034
Ra	Day 56	subject 6	Malassezia globosa	0.0131183190909369
Ra	Day 56	subject 6	Malassezia restricta	0.746108609758339
Ra	Day 56	subject 6	Micrococcus luteus	0.00239823578057521
Ra	Day 56	subject 6	Proteobacteria	0.00150846886581519
Ra	Day 56	subject 6	Staphylococcus aureus	0.000301693773163037
Ra	Day 56	subject 6	Staphylococcus epidermidis	0.0545912585377807
Ra	Day 56	subject 6	Staphylococcus hominis	0.000223590309044688
Ra	Day 56	subject 7	Actinobacteria	0.0523952591872577
Ra	Day 56	subject 7	Alphaproteobacteria	0.00352725893688857
Ra	Day 56	subject 7	Bacteria	0.00673634046271648
Ra	Day 56	subject 7	Corynebacterium tuberculostearicum	0.00177191374047769
Ra	Day 56	subject 7	Cutibacterium acnes	0.0263034841807223
Ra	Day 56	subject 7	Eukaryotic virus	0.000418815975021999
Ra	Day 56	subject 7	Firmicutes	0.0104480011585708
Ra	Day 56	subject 7	Fungi	0.0102764860449903
Ra	Day 56	subject 7	Gammaproteobacteria	0.0102108255185034
Ra	Day 56	subject 7	Malassezia globosa	0.161614181200962
Ra	Day 56	subject 7	Malassezia restricta	0.10614208201552
Ra	Day 56	subject 7	Micrococcus luteus	0.00177528881426907
Ra	Day 56	subject 7	Proteobacteria	0.00108554646126581
Ra	Day 56	subject 7	Staphylococcus aureus	0.00308727204444788
Ra	Day 56	subject 7	Staphylococcus epidermidis	0.60124822501801
Ra	Day 56	subject 7	Staphylococcus hominis	0.00295901924037521
Ra	Day 56	subject 8	Actinobacteria	0.1295811903599
Ra	Day 56	subject 8	Alphaproteobacteria	0.00133255571814077
Ra	Day 56	subject 8	Bacteria	0.000850121656200624
Ra	Day 56	subject 8	Corynebacterium tuberculostearicum	0.00157651668638144
Ra	Day 56	subject 8	Cutibacterium acnes	0.0862025354978175
Ra	Day 56	subject 8	Eukaryotic virus	8.13203227468907e-05
Ra	Day 56	subject 8	Firmicutes	0.0065724781096168
Ra	Day 56	subject 8	Fungi	0.0500459235319561
Ra	Day 56	subject 8	Gammaproteobacteria	0.00653306519245726
Ra	Day 56	subject 8	Malassezia globosa	0.00197214255103349
Ra	Day 56	subject 8	Malassezia restricta	0.578604074297838
Ra	Day 56	subject 8	Micrococcus luteus	0.00175212867169988
Ra	Day 56	subject 8	Proteobacteria	0.000568244463857107
Ra	Day 56	subject 8	Staphylococcus aureus	0.000397621455394306
Ra	Day 56	subject 8	Staphylococcus epidermidis	0.133495042703147
Ra	Day 56	subject 8	Staphylococcus hominis	0.000435038781811587
Ra	Day 56	subject 9	Actinobacteria	0.0720396494798568
Ra	Day 56	subject 9	Alphaproteobacteria	0.000299664951158029
Ra	Day 56	subject 9	Bacteria	7.12558352916486e-05
Ra	Day 56	subject 9	Corynebacterium tuberculostearicum	0.000327972063808136
Ra	Day 56	subject 9	Cutibacterium acnes	0.730503110121989
Ra	Day 56	subject 9	Eukaryotic virus	7.32080499571733e-06
Ra	Day 56	subject 9	Firmicutes	0.00230507746631819
Ra	Day 56	subject 9	Fungi	0.0855143231549741
Ra	Day 56	subject 9	Gammaproteobacteria	0.00123575188327708
Ra	Day 56	subject 9	Malassezia globosa	0.00392687979970277
Ra	Day 56	subject 9	Malassezia restricta	0.0293603324621575
Ra	Day 56	subject 9	Micrococcus luteus	0.000214743613207708
Ra	Day 56	subject 9	Proteobacteria	8.63854989494644e-05
Ra	Day 56	subject 9	Staphylococcus aureus	0.00191951506987708
Ra	Day 56	subject 9	Staphylococcus epidermidis	0.0721709359161133
Ra	Day 56	subject 9	Staphylococcus hominis	1.70818783233404e-05
Ra	Day 56	subject 10	Actinobacteria	0.0197736030972928
Ra	Day 56	subject 10	Alphaproteobacteria	6.07594491436415e-05
Ra	Day 56	subject 10	Bacteria	1.39906626317596e-06
Ra	Day 56	subject 10	Corynebacterium tuberculostearicum	0.000343370834305184
Ra	Day 56	subject 10	Cutibacterium acnes	0.892773363057495
Ra	Day 56	subject 10	Eukaryotic virus	1.99866609025136e-07
Ra	Day 56	subject 10	Firmicutes	0.0161660108043891
Ra	Day 56	subject 10	Fungi	0.000670152740061282
Ra	Day 56	subject 10	Gammaproteobacteria	2.57827925642426e-05
Ra	Day 56	subject 10	Malassezia globosa	0.0163582824822713
Ra	Day 56	subject 10	Malassezia restricta	0.0413508024744285
Ra	Day 56	subject 10	Micrococcus luteus	1.39906626317596e-06
Ra	Day 56	subject 10	Proteobacteria	5.59626505270382e-06
Ra	Day 56	subject 10	Staphylococcus aureus	0.00157634794538125
Ra	Day 56	subject 10	Staphylococcus epidermidis	0.0108735429974035
Ra	Day 56	subject 10	Staphylococcus hominis	1.93870610754382e-05
Ra	Day 56	subject 11	Actinobacteria	0.0269145766412254
Ra	Day 56	subject 11	Alphaproteobacteria	7.15813208543229e-05
Ra	Day 56	subject 11	Bacteria	0.00236143794943376
Ra	Day 56	subject 11	Corynebacterium tuberculostearicum	0.00136750148382113
Ra	Day 56	subject 11	Cutibacterium acnes	0.635401287867263
Ra	Day 56	subject 11	Eukaryotic virus	0.00210270130009574
Ra	Day 56	subject 11	Firmicutes	0.0193157720492837
Ra	Day 56	subject 11	Fungi	0.199284634174712
Ra	Day 56	subject 11	Gammaproteobacteria	0.0117661796154293
