group	site_specific	Taxa	relab
36	Hv04 HVs	Ic	C.sp943913395	0.0836096782030606
37	Hv04 HVs	Ic	C.tuberculostearicum	0.147677907514192
38	Hv04 HVs	Ic	C.tuberculostearicum_D	0.0720169792060016
39	Hv04 HVs	Mb	C.kefirresidentii	1
40	Hv04 HVs	Pc	C.amycolatum_A	0.0791665562527078
41	Hv04 HVs	Pc	C.aurimucosum_C	0.0411977270650149
42	Hv04 HVs	Pc	C.aurimucosum_E	0.042780926875411
43	Hv04 HVs	Pc	C.genitalium_A	0.131494825734289
44	Hv04 HVs	Pc	C.glaucum	0.0553231893597672
45	Hv04 HVs	Pc	C.gottingense	0.0842715392409534
46	Hv04 HVs	Pc	C.kefirresidentii	0.144756952791422
47	Hv04 HVs	Pc	C.singulare	0.0504509557390393
48	Hv04 HVs	Pc	C.sp025152525	0.0330674472126104
49	Hv04 HVs	Pc	C.sp900539985	0.0471331570563427
50	Hv04 HVs	Pc	C.sp943912665	0.0300758316088511
51	Hv04 HVs	Pc	C.sp943913395	0.0885958441144594
52	Hv04 HVs	Pc	C.tuberculostearicum	0.0900818479944967
53	Hv04 HVs	Pc	C.tuberculostearicum_D	0.0816031989546355
54	Hv04 HVs	Ph	C.aurimucosum_E	0.135619948982835
55	Hv04 HVs	Ph	C.haemomassiliense	0.00771507802380132
56	Hv04 HVs	Ph	C.kefirresidentii	0.0778909041671222
57	Hv04 HVs	Ph	C.sp900539985	0.162016854849743
58	Hv04 HVs	Ph	C.tuberculostearicum	0.196727655970075
59	Hv04 HVs	Ph	C.tuberculostearicum_D	0.420029558006423
60	Hv04 HVs	Ra	C.kefirresidentii	0.563124609785401
61	Hv04 HVs	Ra	C.kroppenstedtii	0.239845775108059
62	Hv04 HVs	Ra	C.pseudokroppenstedtii	0.197029615106541
63	Hv04 HVs	Vf	C.gottingense	0.122263788001524
64	Hv04 HVs	Vf	C.kefirresidentii	0.295996992273206
65	Hv04 HVs	Vf	C.singulare	0.0759107860777097
66	Hv04 HVs	Vf	C.sp022346005	0.0458152446748496
67	Hv04 HVs	Vf	C.sp900539985	0.065148096611
68	Hv04 HVs	Vf	C.sp943912665	0.0476291094656078
69	Hv04 HVs	Vf	C.sp943913395	0.110015136692381
70	Hv04 HVs	Vf	C.tuberculostearicum	0.157203952927539
71	Hv04 HVs	Vf	C.tuberculostearicum_D	0.0800168932761825
72	Hv01 HVs	Ac	C.aurimucosum_E	0.086893539625126
73	Hv01 HVs	Ac	C.jeikeium_A	0.0755672338070335
74	Hv01 HVs	Ac	C.kefirresidentii	0.109123737664509
75	Hv01 HVs	Ac	C.simulans	0.27149863240291
76	Hv01 HVs	Ac	C.sp001812805	0.0359018096426396
77	Hv01 HVs	Ac	C.sp900539985	0.0978536523386006
78	Hv01 HVs	Ac	C.sp943912665	0.021105695631079
79	Hv01 HVs	Ac	C.tuberculostearicum	0.195167152648384
80	Hv01 HVs	Ac	C.tuberculostearicum_D	0.106888546239718
81	Hv01 HVs	Hp	C.aurimucosum_E	0.100124156115032
82	Hv01 HVs	Hp	C.jeikeium_A	0.0822403533131053
83	Hv01 HVs	Hp	C.kefirresidentii	0.120739790064964
84	Hv01 HVs	Hp	C.simulans	0.183461393530454
85	Hv01 HVs	Hp	C.sp900539985	0.108883724177707
86	Hv01 HVs	Hp	C.sp943912665	0.0363877133051656
87	Hv01 HVs	Hp	C.tuberculostearicum	0.247018432353178
88	Hv01 HVs	Hp	C.tuberculostearicum_D	0.121144437140394
89	Hv01 HVs	Ic	C.aurimucosum_E	0.0799519300875142
90	Hv01 HVs	Ic	C.jeikeium_A	0.0449009832763869
91	Hv01 HVs	Ic	C.simulans	0.452265666270474
92	Hv01 HVs	Ic	C.sp900539985	0.0920542141839507
93	Hv01 HVs	Ic	C.tuberculostearicum	0.223414036229933
94	Hv01 HVs	Ic	C.tuberculostearicum_D	0.107413169951741
95	Hv01 HVs	Mb	C.jeikeium_A	0.2149584481847
96	Hv01 HVs	Mb	C.simulans	0.501530155536759
97	Hv01 HVs	Mb	C.tuberculostearicum	0.28351139627854
98	Hv01 HVs	Pc	C.aurimucosum_C	0.0341634130490916
99	Hv01 HVs	Pc	C.aurimucosum_E	0.100673896527078
100	Hv01 HVs	Pc	C.jeikeium_A	0.12663001139062
101	Hv01 HVs	Pc	C.kefirresidentii	0.1049187998716
102	Hv01 HVs	Pc	C.simulans	0.199915649639275
103	Hv01 HVs	Pc	C.sp900539985	0.0994894377573052
104	Hv01 HVs	Pc	C.tuberculostearicum	0.224532011694815
105	Hv01 HVs	Pc	C.tuberculostearicum_D	0.109676780070215
106	Hv01 HVs	Ph	C.simulans	0.563252322270468
107	Hv01 HVs	Ph	C.tuberculostearicum	0.436747677729532
108	Hv01 HVs	Ra	C.kefirresidentii	1
109	Hv01 HVs	Vf	C.simulans	0.55481402152507
110	Hv01 HVs	Vf	C.tuberculostearicum	0.44518597847493
111	Hv02 HVs	Ac	C.matruchotii	1
112	Hv02 HVs	Hp	C.amycolatum_A	0.0373784931055471
113	Hv02 HVs	Hp	C.aurimucosum	0.0230074430264848
114	Hv02 HVs	Hp	C.aurimucosum_E	0.0425037838886359
115	Hv02 HVs	Hp	C.coyleae	0.0260015380499446
116	Hv02 HVs	Hp	C.durum	0.035672876027869
117	Hv02 HVs	Hp	C.haemomassiliense	0.0639097166551641
118	Hv02 HVs	Hp	C.kefirresidentii	0.0765668833133173
119	Hv02 HVs	Hp	C.matruchotii	0.524169223987693
120	Hv02 HVs	Hp	C.riegelii	0.020895328568005
121	Hv02 HVs	Hp	C.sp001807485	0.027296818646131
122	Hv02 HVs	Hp	C.sp900539985	0.0306829777828997
123	Hv02 HVs	Hp	C.tuberculostearicum	0.0322209553993591
124	Hv02 HVs	Hp	C.tuberculostearicum_D	0.0253960088987118
125	Hv02 HVs	Hp	C.variabile	0.0342979526502375
126	Hv02 HVs	Ic	C.coyleae	0.118476516314502
127	Hv02 HVs	Ic	C.genitalium_A	0.176199314898246
128	Hv02 HVs	Ic	C.imitans	0.106487750502035
129	Hv02 HVs	Ic	C.riegelii	0.166748036025195
130	Hv02 HVs	Ic	C.sp001767255	0.142330834591037
131	Hv02 HVs	Ic	C.sp001807485	0.145794255676185
132	Hv02 HVs	Ic	C.tuscaniense	0.143963291992799
133	Hv02 HVs	Pc	C.amycolatum_A	0.0855712055963623
134	Hv02 HVs	Pc	C.aurimucosum	0.0603359359974949
135	Hv02 HVs	Pc	C.aurimucosum_E	0.0158971841006196
136	Hv02 HVs	Pc	C.coyleae	0.0717770805227282
137	Hv02 HVs	Pc	C.freneyi	0.0562723949104002
138	Hv02 HVs	Pc	C.haemomassiliense	0.0168431079887014
139	Hv02 HVs	Pc	C.imitans	0.0903522600178031
140	Hv02 HVs	Pc	C.kefirresidentii	0.00892261363924261
141	Hv02 HVs	Pc	C.massiliense	0.0165091732734092
142	Hv02 HVs	Pc	C.minutissimum_A	0.0130377531988419
143	Hv02 HVs	Pc	C.riegelii	0.104100539827476
144	Hv02 HVs	Pc	C.sp001767255	0.0643995447362334
145	Hv02 HVs	Pc	C.sp001806875	0.03833894763332
146	Hv02 HVs	Pc	C.sp001807485	0.150089005405992
147	Hv02 HVs	Pc	C.sp001831515	0.0381871768080486
148	Hv02 HVs	Pc	C.sp022288805	0.0106773546476963
149	Hv02 HVs	Pc	C.sp943913645	0.0164059295360131
150	Hv02 HVs	Pc	C.tuscaniense	0.0845438392768688
151	Hv02 HVs	Pc	C.vitaeruminis_A	0.0577389528827493
152	Hv02 HVs	Ph	C.appendicis	0.156640357665784
153	Hv02 HVs	Ph	C.dentalis	0.561417660869118
154	Hv02 HVs	Ph	C.variabile	0.281941981465097
155	Hv02 HVs	Vf	C.matruchotii	1
156	Hv03 HVs	Ac	C.kefirresidentii	1
157	Hv03 HVs	Hp	C.durum	0.135076373286662
158	Hv03 HVs	Hp	C.kefirresidentii	0.357205957914801
159	Hv03 HVs	Hp	C.matruchotii	0.507717668798537
160	Hv03 HVs	Ic	C.kefirresidentii	0.842229624816223
161	Hv03 HVs	Ic	C.sp	0.157770375183777
162	Hv03 HVs	Mb	C.kefirresidentii	1
163	Hv03 HVs	Pc	C.afermentans	0.0433382753286631
164	Hv03 HVs	Pc	C.amycolatum_A	0.0706974666397097
165	Hv03 HVs	Pc	C.aurimucosum	0.0256207493207706
166	Hv03 HVs	Pc	C.aurimucosum_C	0.0615205386775521
167	Hv03 HVs	Pc	C.aurimucosum_E	0.0977836835126023
168	Hv03 HVs	Pc	C.coyleae	0.0164423741145085
169	Hv03 HVs	Pc	C.haemomassiliense	0.029256226511314
170	Hv03 HVs	Pc	C.kefirresidentii	0.0812873956464859
171	Hv03 HVs	Pc	C.lipophilum	0.0256007081508836
172	Hv03 HVs	Pc	C.sp001767255	0.0532698088748023
173	Hv03 HVs	Pc	C.sp001831515	0.0231183711346866
174	Hv03 HVs	Pc	C.sp022288805	0.0421631899305375
175	Hv03 HVs	Pc	C.sp022347285	0.11934198532295
176	Hv03 HVs	Pc	C.sp025144025	0.0294287265883276
177	Hv03 HVs	Pc	C.sp900539985	0.0506542010018958
178	Hv03 HVs	Pc	C.sp943913645	0.117129992689745
179	Hv03 HVs	Pc	C.tuberculostearicum	0.0454456918295084
180	Hv03 HVs	Pc	C.tuberculostearicum_D	0.0679006147250567
181	Hv03 HVs	Ph	C.afermentans	0.114661154474918
182	Hv03 HVs	Ph	C.aurimucosum_E	0.168321523274174
183	Hv03 HVs	Ph	C.tuberculostearicum	0.187266714160496
184	Hv03 HVs	Ph	C.tuberculostearicum_D	0.529750608090412
185	Hv03 HVs	Vf	C.kefirresidentii	1
186	Hv05 HVs	Ic	C.amycolatum_A	1
187	Hv05 HVs	Mb	C.dentalis	1
188	Hv06 HVs	Ac	C.afermentans	0.0164975850266779
189	Hv06 HVs	Ac	C.amycolatum_A	0.0959373276025817
190	Hv06 HVs	Ac	C.aurimucosum_E	0.0671846266879505
191	Hv06 HVs	Ac	C.coyleae	0.223789750133128
192	Hv06 HVs	Ac	C.haemomassiliense	0.0352287423907437
193	Hv06 HVs	Ac	C.imitans	0.0405077590537947
194	Hv06 HVs	Ac	C.minutissimum_A	0.0490410089461068
195	Hv06 HVs	Ac	C.mucifaciens	0.0334608996009645
196	Hv06 HVs	Ac	C.simulans	0.0142228832049761
197	Hv06 HVs	Ac	C.sp001812805	0.0180354723503203
198	Hv06 HVs	Ac	C.sp001831515	0.0586758070372373
199	Hv06 HVs	Ac	C.sp022347285	0.0270364598947982
200	Hv06 HVs	Ac	C.sp900539985	0.110394132585688
201	Hv06 HVs	Ac	C.sp943913645	0.0784684696510825
202	Hv06 HVs	Ac	C.tuberculostearicum	0.0567464146797681
203	Hv06 HVs	Ac	C.tuberculostearicum_D	0.0440655694242839
204	Hv06 HVs	Ac	C.tuscaniense	0.0307070917298974
205	Hv06 HVs	Ic	C.aurimucosum_E	0.179909746403509
206	Hv06 HVs	Ic	C.pyruviciproducens	0.522029127451076
207	Hv06 HVs	Ic	C.sp900539985	0.12963484366958
208	Hv06 HVs	Ic	C.tuberculostearicum	0.168426282475835
209	Hv06 HVs	Mb	C.mucifaciens	0.482976535788793
210	Hv06 HVs	Mb	C.wankanglinii	0.517023464211207
211	Hv06 HVs	Pc	C.afermentans	0.112309834054403
212	Hv06 HVs	Pc	C.aurimucosum_E	0.131903278501067
213	Hv06 HVs	Pc	C.haemomassiliense	0.112861326331246
214	Hv06 HVs	Pc	C.mucifaciens	0.117045005729053
215	Hv06 HVs	Pc	C.sp025144025	0.0618534322656258
216	Hv06 HVs	Pc	C.sp900539985	0.136716198360695
217	Hv06 HVs	Pc	C.tuberculostearicum	0.183122846472791
218	Hv06 HVs	Pc	C.tuberculostearicum_D	0.14418807828512
219	Hv06 HVs	Vf	C.aurimucosum_E	0.237871558132107
220	Hv06 HVs	Vf	C.haemomassiliense	0.185576939041355
221	Hv06 HVs	Vf	C.mucifaciens	0.2012907759666
222	Hv06 HVs	Vf	C.sp900539985	0.183356129099779
223	Hv06 HVs	Vf	C.tuberculostearicum	0.19190459776016
224	Pt01 Post-Tx-offIS-24M	Ic	C.pyruviciproducens	1
225	Pt01 Post-Tx-offIS-24M	Mb	C.pyruviciproducens	1
226	Pt01 Post-Tx-offIS-24M	Pc	C.pyruviciproducens	1
227	Pt01 Post-Tx-offIS-24M	Ph	C.kefirresidentii	1
228	Pt01 Post-Tx-offIS-24M	Vf	C.pyruviciproducens	1
229	Pt11 Post-Tx-offIS-12M	Ic	C.tuberculostearicum_D	1
230	Pt11 Post-Tx-offIS-12M	Mb	C.kefirresidentii	0.220032452089792
231	Pt11 Post-Tx-offIS-12M	Mb	C.pyruviciproducens	0.779967547910208
232	Pt11 Post-Tx-offIS-24M	Ic	C.kefirresidentii	0.804297446846641
233	Pt11 Post-Tx-offIS-24M	Ic	C.pyruviciproducens	0.195702553153359
234	Pt11 Post-Tx-offIS-24M	Pc	C.pyruviciproducens	0.558387993401029
235	Pt11 Post-Tx-offIS-24M	Pc	C.tuberculostearicum_D	0.441612006598971
236	Pt11 Post-Tx-offIS-24M	Ph	C.afermentans	0.146146008384531
237	Pt11 Post-Tx-offIS-24M	Ph	C.aurimucosum_E	0.108951718390215
238	Pt11 Post-Tx-offIS-24M	Ph	C.sp025144025	0.212224397233254
239	Pt11 Post-Tx-offIS-24M	Ph	C.sp900539985	0.101187033838989
240	Pt11 Post-Tx-offIS-24M	Ph	C.tuberculostearicum	0.127272809230015
241	Pt11 Post-Tx-offIS-24M	Ph	C.tuberculostearicum_D	0.304218032922996
242	Pt11 Post-Tx-offIS-24M	Ra	C.kefirresidentii	1
243	Pt11 Post-Tx-offIS-24M	Vf	C.mucifaciens	1
244	Pt11 Pre-Tx	Ph	C.afermentans	0.013373345315425
245	Pt11 Pre-Tx	Ph	C.aurimucosum_E	0.132405026591722
246	Pt11 Pre-Tx	Ph	C.sp900539985	0.168282756273451
247	Pt11 Pre-Tx	Ph	C.tuberculostearicum	0.193828050387154
248	Pt11 Pre-Tx	Ph	C.tuberculostearicum_D	0.492110821432248
249	Pt02 Post-Tx-offIS-24M	Hp	C.accolens	0.575502599174209
250	Pt02 Post-Tx-offIS-24M	Hp	C.kefirresidentii	0.424497400825791
251	Pt02 Post-Tx-offIS-24M	Pc	C.afermentans	0.372379158311175
252	Pt02 Post-Tx-offIS-24M	Pc	C.tuberculostearicum_D	0.627620841688825
253	Pt02 Post-Tx-offIS-24M	Ph	C.afermentans	0.0778471004071377
254	Pt02 Post-Tx-offIS-24M	Ph	C.aurimucosum_E	0.127410119907259
255	Pt02 Post-Tx-offIS-24M	Ph	C.sp900539985	0.165816942526047
256	Pt02 Post-Tx-offIS-24M	Ph	C.tuberculostearicum	0.184342553920061
257	Pt02 Post-Tx-offIS-24M	Ph	C.tuberculostearicum_D	0.444583283239494
258	Pt02 Post-Tx-offIS-24M	Ra	C.kefirresidentii	1
259	Pt09 Post-Tx-offIS-24M	Ac	C.mucifaciens	1
260	Pt09 Post-Tx-offIS-24M	Hp	C.mucifaciens	1
261	Pt09 Post-Tx-offIS-24M	Mb	C.mucifaciens	1
262	Pt09 Post-Tx-offIS-24M	Pc	C.mucifaciens	1
263	Pt09 Post-Tx-offIS-24M	Ra	C.aurimucosum_E	0.976507714586906
264	Pt09 Post-Tx-offIS-24M	Ra	C.mucifaciens	0.0234922854130942
265	Pt09 Post-Tx-offIS-24M	Vf	C.mucifaciens	1
266	Pt09 Post-Tx-onIS>12M	Ph	C.afermentans	1
267	Pt09 Post-Tx-onIS>12M	Ra	C.aurimucosum_E	0.683986569137462
268	Pt09 Post-Tx-onIS>12M	Ra	C.sp900539985	0.168668152156201
269	Pt09 Post-Tx-onIS>12M	Ra	C.tuberculostearicum	0.147345278706338
270	Pt09 Pre-Tx	Ph	C.afermentans	0.53465815368605
271	Pt09 Pre-Tx	Ph	C.tuberculostearicum_D	0.46534184631395
272	Pt05 Post-Tx-offIS-12M	Ac	C.gottingense	0.0704782731082176
273	Pt05 Post-Tx-offIS-12M	Ac	C.kefirresidentii	0.856280689330413
274	Pt05 Post-Tx-offIS-12M	Ac	C.tuberculostearicum	0.0732410375613693
275	Pt05 Post-Tx-offIS-12M	Hp	C.gottingense	0.0650544485975177
276	Pt05 Post-Tx-offIS-12M	Hp	C.kefirresidentii	0.934945551402482
277	Pt05 Post-Tx-offIS-12M	Ic	C.aurimucosum_E	0.183825237636652
278	Pt05 Post-Tx-offIS-12M	Ic	C.gottingense	0.145552790203725
279	Pt05 Post-Tx-offIS-12M	Ic	C.haemomassiliense	0.0551734769868335
280	Pt05 Post-Tx-offIS-12M	Ic	C.kefirresidentii	0.196428090174625
281	Pt05 Post-Tx-offIS-12M	Ic	C.singulare	0.0415962545739445
282	Pt05 Post-Tx-offIS-12M	Ic	C.sp900539985	0.081864970595108
283	Pt05 Post-Tx-offIS-12M	Ic	C.sp943912665	0.0751864030595997
284	Pt05 Post-Tx-offIS-12M	Ic	C.tuberculostearicum	0.137409833661791
285	Pt05 Post-Tx-offIS-12M	Ic	C.tuberculostearicum_D	0.0829629431077215
286	Pt05 Post-Tx-offIS-12M	Mb	C.gottingense	0.0513963062118815
287	Pt05 Post-Tx-offIS-12M	Mb	C.kefirresidentii	0.948603693788119
288	Pt05 Post-Tx-offIS-12M	Pc	C.aurimucosum_E	0.105576735144242
289	Pt05 Post-Tx-offIS-12M	Pc	C.gottingense	0.167479829372637
290	Pt05 Post-Tx-offIS-12M	Pc	C.haemomassiliense	0.048914514024124
291	Pt05 Post-Tx-offIS-12M	Pc	C.kefirresidentii	0.111124630801915
292	Pt05 Post-Tx-offIS-12M	Pc	C.massiliense	0.0168320066049775
293	Pt05 Post-Tx-offIS-12M	Pc	C.singulare	0.14136921762213
294	Pt05 Post-Tx-offIS-12M	Pc	C.sp900539985	0.0700970971210409
295	Pt05 Post-Tx-offIS-12M	Pc	C.sp943912665	0.103562392112554
296	Pt05 Post-Tx-offIS-12M	Pc	C.tuberculostearicum	0.156370499865096
297	Pt05 Post-Tx-offIS-12M	Pc	C.tuberculostearicum_D	0.0786730773312832
298	Pt05 Post-Tx-offIS-12M	Ph	C.afermentans	0.0733540069573563
299	Pt05 Post-Tx-offIS-12M	Ph	C.aurimucosum_E	0.121972673310137
300	Pt05 Post-Tx-offIS-12M	Ph	C.gottingense	0.0428105898853453
301	Pt05 Post-Tx-offIS-12M	Ph	C.haemomassiliense	0.0175247206712657
302	Pt05 Post-Tx-offIS-12M	Ph	C.kefirresidentii	0.0417083881873359
303	Pt05 Post-Tx-offIS-12M	Ph	C.sp900539985	0.135317184429848
304	Pt05 Post-Tx-offIS-12M	Ph	C.sp943912665	0.0171595043600229
305	Pt05 Post-Tx-offIS-12M	Ph	C.tuberculostearicum	0.178458766142974
306	Pt05 Post-Tx-offIS-12M	Ph	C.tuberculostearicum_D	0.371694166055715
307	Pt05 Post-Tx-offIS-12M	Vf	C.aurimucosum_E	0.0410275374658962
308	Pt05 Post-Tx-offIS-12M	Vf	C.gottingense	0.0532082610767931
309	Pt05 Post-Tx-offIS-12M	Vf	C.haemomassiliense	0.0223253966738193
310	Pt05 Post-Tx-offIS-12M	Vf	C.kefirresidentii	0.727233915057038
311	Pt05 Post-Tx-offIS-12M	Vf	C.singulare	0.0272832345701979
312	Pt05 Post-Tx-offIS-12M	Vf	C.sp943912665	0.0256801418176932
313	Pt05 Post-Tx-offIS-12M	Vf	C.sputi	0.0590620167099383
314	Pt05 Post-Tx-offIS-12M	Vf	C.tuberculostearicum	0.044179496628624
315	Pt05 Post-Tx-offIS-24M	Ac	C.kefirresidentii	1
316	Pt05 Post-Tx-offIS-24M	Hp	C.kefirresidentii	0.847947972702908
317	Pt05 Post-Tx-offIS-24M	Hp	C.tuberculostearicum	0.152052027297092
318	Pt05 Post-Tx-offIS-24M	Ic	C.aurimucosum_E	0.0857601118087635
319	Pt05 Post-Tx-offIS-24M	Ic	C.gottingense	0.0423994714630933
320	Pt05 Post-Tx-offIS-24M	Ic	C.haemomassiliense	0.120163695466168
321	Pt05 Post-Tx-offIS-24M	Ic	C.kefirresidentii	0.25854011643159
322	Pt05 Post-Tx-offIS-24M	Ic	C.singulare	0.014489650265407
323	Pt05 Post-Tx-offIS-24M	Ic	C.sp022288805	0.0218612693557458
324	Pt05 Post-Tx-offIS-24M	Ic	C.sp025144245	0.0493347309948653
325	Pt05 Post-Tx-offIS-24M	Ic	C.sp900539985	0.0887604025290167
326	Pt05 Post-Tx-offIS-24M	Ic	C.sp943912665	0.0261690182670266
327	Pt05 Post-Tx-offIS-24M	Ic	C.tuberculostearicum	0.183565197292059
328	Pt05 Post-Tx-offIS-24M	Ic	C.tuberculostearicum_D	0.108956336126265
329	Pt05 Post-Tx-offIS-24M	Mb	C.kefirresidentii	0.619940508118501
330	Pt05 Post-Tx-offIS-24M	Mb	C.mucifaciens	0.3800594918815
331	Pt05 Post-Tx-offIS-24M	Pc	C.afermentans	0.043570296048077
332	Pt05 Post-Tx-offIS-24M	Pc	C.amycolatum_A	0.0173325461097726
333	Pt05 Post-Tx-offIS-24M	Pc	C.appendicis	0.0430745587080192
334	Pt05 Post-Tx-offIS-24M	Pc	C.aurimucosum_E	0.0531038838326502
335	Pt05 Post-Tx-offIS-24M	Pc	C.freneyi	0.0196206533017705
336	Pt05 Post-Tx-offIS-24M	Pc	C.gottingense	0.0627268267568335
337	Pt05 Post-Tx-offIS-24M	Pc	C.haemomassiliense	0.163802317853548
338	Pt05 Post-Tx-offIS-24M	Pc	C.kefirresidentii	0.109298084173393
339	Pt05 Post-Tx-offIS-24M	Pc	C.mucifaciens	0.0464536086269205
340	Pt05 Post-Tx-offIS-24M	Pc	C.singulare	0.0411658913765016
341	Pt05 Post-Tx-offIS-24M	Pc	C.sp025152525	0.0694754340702863
342	Pt05 Post-Tx-offIS-24M	Pc	C.sp900539985	0.0518554944241392
343	Pt05 Post-Tx-offIS-24M	Pc	C.sp943912665	0.0496094798734955
344	Pt05 Post-Tx-offIS-24M	Pc	C.sp943913395	0.0178390586704732
345	Pt05 Post-Tx-offIS-24M	Pc	C.tuberculostearicum	0.128099705397062
346	Pt05 Post-Tx-offIS-24M	Pc	C.tuberculostearicum_D	0.0632778953837897
347	Pt05 Post-Tx-offIS-24M	Pc	C.xerosis	0.019694265393267
348	Pt05 Post-Tx-offIS-24M	Ph	C.afermentans	0.0146531192967706
349	Pt05 Post-Tx-offIS-24M	Ph	C.appendicis	0.621568927630502
350	Pt05 Post-Tx-offIS-24M	Ph	C.aurimucosum_E	0.0397540547036249
351	Pt05 Post-Tx-offIS-24M	Ph	C.freneyi	0.00771340786298584
352	Pt05 Post-Tx-offIS-24M	Ph	C.mucifaciens	0.0498580035753989
353	Pt05 Post-Tx-offIS-24M	Ph	C.sp900539985	0.0481995219857633
354	Pt05 Post-Tx-offIS-24M	Ph	C.tuberculostearicum	0.0628317332192479
355	Pt05 Post-Tx-offIS-24M	Ph	C.tuberculostearicum_D	0.155421231725707
356	Pt05 Post-Tx-offIS-24M	Ra	C.kefirresidentii	1
357	Pt05 Post-Tx-offIS-24M	Vf	C.appendicis	0.0441760410770034
358	Pt05 Post-Tx-offIS-24M	Vf	C.gottingense	0.0453158945307065
359	Pt05 Post-Tx-offIS-24M	Vf	C.haemomassiliense	0.0654776087971401
360	Pt05 Post-Tx-offIS-24M	Vf	C.kefirresidentii	0.669118332586851
361	Pt05 Post-Tx-offIS-24M	Vf	C.mucifaciens	0.100496986784139
362	Pt05 Post-Tx-offIS-24M	Vf	C.tuberculostearicum	0.0754151362241599
363	Pt05 Pre-Tx	Ac	C.accolens	0.0464518139195637
364	Pt05 Pre-Tx	Ac	C.jeikeium_A	0.0871891275154593
365	Pt05 Pre-Tx	Ac	C.kefirresidentii	0.866359058564977
366	Pt05 Pre-Tx	Hp	C.accolens	0.0657099278569647
367	Pt05 Pre-Tx	Hp	C.aurimucosum_C	0.0184880056847598
368	Pt05 Pre-Tx	Hp	C.coyleae	0.0222576435839128
369	Pt05 Pre-Tx	Hp	C.jeikeium_A	0.115143720035439
370	Pt05 Pre-Tx	Hp	C.kefirresidentii	0.656405209590467
371	Pt05 Pre-Tx	Hp	C.minutissimum_B	0.0304410110198461
372	Pt05 Pre-Tx	Hp	C.simulans	0.0164212309810944
373	Pt05 Pre-Tx	Hp	C.sp001812805	0.0277372757594291
374	Pt05 Pre-Tx	Hp	C.sp943912665	0.0338322882918936
375	Pt05 Pre-Tx	Hp	C.sp943913645	0.0135636871961943
376	Pt05 Pre-Tx	Ic	C.jeikeium_A	0.275084068039147
377	Pt05 Pre-Tx	Ic	C.kefirresidentii	0.419545054481934
378	Pt05 Pre-Tx	Ic	C.minutissimum_B	0.0574805790456042
379	Pt05 Pre-Tx	Ic	C.simulans	0.0567334019997831
380	Pt05 Pre-Tx	Ic	C.sp001812805	0.0566152093016836
381	Pt05 Pre-Tx	Ic	C.sp943912665	0.0740153379782032
382	Pt05 Pre-Tx	Ic	C.tuberculostearicum	0.0605263491536451
383	Pt05 Pre-Tx	Mb	C.kefirresidentii	1
384	Pt05 Pre-Tx	Pc	C.jeikeium_A	0.288709489318849
385	Pt05 Pre-Tx	Pc	C.kefirresidentii	0.525843788303598
386	Pt05 Pre-Tx	Pc	C.simulans	0.185446722377553
387	Pt05 Pre-Tx	Ph	C.appendicis	0.709434834581506
388	Pt05 Pre-Tx	Ph	C.jeikeium_A	0.0715058285698748
